part_number,id,description,footprint,tags
RC0402FR-07470RL,bdj2129gxtgetaes7akb8sq5yf,Res Thick Film 0402 470 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R,,
C0603C473K4RECAUTO,b5k98tpznyjp98586h07fc3x2t,Cap Ceramic 0.047uF 16V X7R 10% Pad SMD 0603 125C Automotive T/R,,
"DF2B6M4BSL,L3F",efw49mx9q8ja5b50v6v5pjgd2a,ESD Suppressor TVS Bi-Dir 5.5V 2-Pin SL T/R,,
885012006020,ff0s618yc6h70aa20kfxpttapx,"Ceramic Capacitor 33pF, 16VDC, 0603, ±5 %",,
RMC16K121FTP,6ze4avg9v8jqd83jk5745a8mv0,0603 120 ohms,,
expedite-enclosure-v0.1,a9dbejdnkpkeh8ch1s5g2tj0mc,"Expedite GPS enclosure v0.1, upper and lower shells",,
B1591IRP-20C000252U1930,edzscw2tm2k518m6efjwybkm6k,Infrared emitter 3.2(L)X1.6(W)X1.85(H) Mm Irp,,
10U2-03101.5BK,c3h1temq5phmhb1tnq31x4r3vn,"Micro USB 2.0 Cable, Black, Type A Male/Micro-B Male, 1.5 foot",,cable
RMCF0402FT10K0,bxhrc0vc4ageqa2pf6319ef3dx,Res Thick Film 0402 10K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,,
VLS6045EX-6R8M,f2cbnk04z6knvarxb5xskp139r,Inductor Power Shielded Wirewound 6.8uH 20% 100KHz Ferrite 3.6A 0.0468Ohm DCR 2424 T/R,,
LP T67F-P1R2-35-1-20-R18-Z,73pd6bhm6rkvj85eszn6s3mmkz,LED Uni-Color Green 0.48lm 562nm Chip LED 2-Pin PLCC T/R,,
RMCF0603FT82K0,baq5t23r2wkyray2840rm0625z,Res Thick Film 0603 82K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,,
CONSMA003.062,f94jdk9da2g4f88xq3m475bpsw,"Rf Coax Conn, Sma Jack, 50 Ohm Rohs Compliant: Yes |Linx Te Connectivity CONSMA003.062",,connector
WR06X6802FTL,bz1t19d8m2jrra9j6jzeh5qvpe,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 68kΩ 0603 Chip Resistor - Surface Mount ROHS,,
SAM-M8Q-0-10,cm46qzg2ytg3t9vdvmw5f4rvsx,3.6 V -164dBm Easy-to-use u-blox M8 GNSS Antenna Module,,
MBR120VLSFT3G,7m0n9wrxvmkg187hxp286zyy25,MBR120VLSF Series 20 V 1 A Surface Mount Schottky Power Rectifier - SOD-123FL,,
CR0603-JW-104ELF,bk9wm5j5xmks78rb9mrqpjdyax,Res Thick Film 0603 100K Ohm 5% 1/10W ±200ppm/°C Molded SMD SMD Paper Tape on Plastic Reel,,
RC0805FR-07100KL,dz5vr941a2ha7b5rz3gcj4ktbp,125Mw Thick Film Resistors 100Ppm/ 1% 100K 0805 Chip Resistor Surface Mount Rohs,0805,
